"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Fuego","4.8","623","ตึก The Taste Thonglor ชั้น 2 ถ. ทองหล่อ","เขตวัฒนา","กรุงเทพมหานคร","TH","https://www.fuegobangkok.com/","+66 64 453 5621","ร้านอาหาร",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Fuego&query_place_id=ChIJN7fHY7Gf4jAR8jjTD8UA81k","ร้านอาหาร"
"Supanniga Eating Room, Thonglor : ห้องทานข้าวสุพรรณิการ์ ทองหล่อ","4.4","1729","160/11 ถ. ทองหล่อ","เขตวัฒนา","กรุงเทพมหานคร","TH","http://www.supannigaeatingroom.com/","+66 91 774 9808","ภัตตาคารอาหารไทย","ภัตตาคารอาหารเช้าและกลางวัน","บาร์ค็อกเทล","ร้านอาหาร","บาร์ไวน์",,,,,,"https://www.google.com/maps/search/?api=1&query=Supanniga%20Eating%20Room%2C%20Thonglor%20%3A%20%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%97%E0%B8%B2%E0%B8%99%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%AA%E0%B8%B8%E0%B8%9E%E0%B8%A3%E0%B8%A3%E0%B8%93%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%20%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%A5%E0%B9%88%E0%B8%AD&query_place_id=ChIJYSgxk6yf4jAROxN8pCQzqJA","ภัตตาคารอาหารไทย"
"ครัวเจียงใหม่ - ทองหล่อ","4.8","2758","125 24 ถ. ทองหล่อ","เขตวัฒนา","กรุงเทพมหานคร","TH",,"+66 99 196 2464","ภัตตาคารอาหารไทย","ร้านอาหาร",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B9%80%E0%B8%88%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88%20-%20%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%A5%E0%B9%88%E0%B8%AD&query_place_id=ChIJh7s6GVOe4jAReTmapQOwBQ0","ภัตตาคารอาหารไทย"
"Lucca Thonglor – Mediterranean Restaurant, Rooftop & All-Day Brunch","4.9","833","Thonglor, 125/26 ถ. ทองหล่อ","เขตวัฒนา","กรุงเทพมหานคร","TH","https://lucca.co.th/visit","+66 65 594 9454","ร้านอาหาร","ภัตตาคารอาหารเช้าและกลางวัน","ภัตตาคารอาหารเมดิเตอร์เรเนียน",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lucca%20Thonglor%20%E2%80%93%20Mediterranean%20Restaurant%2C%20Rooftop%20%26%20All-Day%20Brunch&query_place_id=ChIJbx8TnXKf4jARvOgGrfi8gCQ","ร้านอาหาร"
"Di Vino Bangkok | Italian Restaurant Thonglor","4.7","384","Penny’s Balcony, ถ. ทองหล่อ","เขตวัฒนา","กรุงเทพมหานคร","TH","https://www.divinobangkok.com/","+66 2 714 8723","ร้านอาหารอิตาเลียน","ร้านอาหาร","บาร์ไวน์","ร้านไวน์",,,,,,,"https://www.google.com/maps/search/?api=1&query=Di%20Vino%20Bangkok%20%7C%20Italian%20Restaurant%20Thonglor&query_place_id=ChIJi7QNHVOe4jARgyB05vA6Gk4","ร้านอาหารอิตาเลียน"
"Gigi Eatery Asoke","4.8","3365","28 ซอย สุขุมวิท 19","เขตวัฒนา","กรุงเทพมหานคร","TH","http://gigibangkok.com/gigi-eatery-asoke/","+66 61 995 6060","ร้านอาหารอิตาเลียน",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gigi%20Eatery%20Asoke&query_place_id=ChIJw5WEJoqf4jARFC4PiDtFCzc","ร้านอาหารอิตาเลียน"
"นาราไทย คูซีน","4.7","1136","Rm. 3054-55, Fl.3 Terminal 21, 88 ซอย สุขุมวิท 19","เขตวัฒนา","กรุงเทพมหานคร","TH","https://naracuisine.com/","+66 2 004 2565","ภัตตาคารอาหารไทย",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%E0%B8%99%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B9%84%E0%B8%97%E0%B8%A2%20%E0%B8%84%E0%B8%B9%E0%B8%8B%E0%B8%B5%E0%B8%99&query_place_id=ChIJ5UUPyu6f4jARzil2TMt0IZg","ภัตตาคารอาหารไทย"
"ปิง หูฉลาม อโศก","4.6","1595","137/3 ซอย สุขุมวิท 21","เขตวัฒนา","กรุงเทพมหานคร","TH","http://pingsharksfin.com/","+66 2 661 7860","ภัตตาคารอาหารจีน",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%E0%B8%9B%E0%B8%B4%E0%B8%87%20%E0%B8%AB%E0%B8%B9%E0%B8%89%E0%B8%A5%E0%B8%B2%E0%B8%A1%20%E0%B8%AD%E0%B9%82%E0%B8%A8%E0%B8%81&query_place_id=ChIJnfQQnAGf4jARkEY6N_nZR74","ภัตตาคารอาหารจีน"
"Bangkok Heightz Rooftop (Restaurant & Bar 39th floor)","4.8","2906","413 ชั้น 39 โรงแรม เดอะ คอนทิเนนท์ ถ. สุขุมวิท","เขตวัฒนา","กรุงเทพมหานคร","TH","https://montraj.com/continent-hotel/bangkok-heightz-rooftop-restaurant-sukhumvit/","+66 2 686 7000","ร้านอาหาร","บาร์","ภัตตาคารอาหารไทย",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bangkok%20Heightz%20Rooftop%20(Restaurant%20%26%20Bar%2039th%20floor)&query_place_id=ChIJ_QYAIOOe4jARxBtLupRX4u4","ร้านอาหาร"
"M3 Restaurant Asoke","4.8","9","133/2 ถนน อโศกมนตรี","เขตวัฒนา","กรุงเทพมหานคร","TH","https://www.furama.com/xclusive/asoke/Dining","+66 2 677 8484","ภัตตาคารอาหารไทย",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=M3%20Restaurant%20Asoke&query_place_id=ChIJ8X5vhzqf4jAR_-nxBaguVO8","ภัตตาคารอาหารไทย"
"PEPE Bangkok","4.8","904","173, 3 ซ. สุขุมวิท 16","เขตคลองเตย","กรุงเทพมหานคร","TH","https://linktr.ee/pepebangkok","+66 84 264 9291","ร้านอาหารฟิวชั่นเอเชีย","ร้านอาหาร",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=PEPE%20Bangkok&query_place_id=ChIJIUHmOe2f4jAR2l7P6OOm4hg","ร้านอาหารฟิวชั่นเอเชีย"
"SWD Bangkok","4.8","377","249 สุขุมวิท 31","เขตวัฒนา","กรุงเทพมหานคร","TH","https://www.swdbangkok.com/","+66 81 235 2038","ร้านอาหาร","บาร์ & กริลล์","เบด แอนด์ เบรกฟาสต์","ภัตตาคารอาหารเช้า","ภัตตาคารอาหารเช้าและกลางวัน","ร้านกาแฟ","ร้านอาหารขนาดเล็กแบบอเมริกัน","ร้านอาหารกลางวัน","ร้านพิซซ่า","ร้านอาหารตะวันตก","https://www.google.com/maps/search/?api=1&query=SWD%20Bangkok&query_place_id=ChIJPSQXMkOf4jARUl6zswYm-X4","ร้านอาหาร"
"Chez Papa Bangkok","4.8","538","64 ซ. สุขุมวิท 51","เขตวัฒนา","กรุงเทพมหานคร","TH","https://chezpapabangkok.carrd.co/","+66 63 832 3605","ภัตตาคารอาหารฝรั่งเศส","บิสโทร","สถานที่จัดกิจกรรม","ภัตตาคารสเต๊กเฮาส์แบบฝรั่งเศส","ร้านอาหาร","ภัตตาคารอาหารทาปาส","บาร์ไวน์",,,,"https://www.google.com/maps/search/?api=1&query=Chez%20Papa%20Bangkok&query_place_id=ChIJTWM3irSf4jARH23HAeWx7uk","ภัตตาคารอาหารฝรั่งเศส"
"Indulge Restaurant & Cocktail Bar","4.7","3693","403-403/1, 407 407/1 ถ. สุขุมวิท","เขตวัฒนา","กรุงเทพมหานคร","TH","http://www.indulgebangkok.com/","+66 95 551 8400","ภัตตาคารอาหารไทย","บาร์ค็อกเทล","ร้านอาหารฟิวชั่น","ร้านอาหารฮาลาล","ร้านอาหารตะวันตก",,,,,,"https://www.google.com/maps/search/?api=1&query=Indulge%20Restaurant%20%26%20Cocktail%20Bar&query_place_id=ChIJvcw2HuOe4jARNkjje3ATS18","ภัตตาคารอาหารไทย"
"โค ลิมิเต็ด","4.7","2097","628 ห้อง GM05 ถ. สุขุมวิท","เขตคลองเตย","กรุงเทพมหานคร","TH","https://www.facebook.com/COLTEMS/","+66 95 372 5599","ภัตตาคารอาหารไทย","ร้านอาหาร Raw Food",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%84%20%E0%B8%A5%E0%B8%B4%E0%B8%A1%E0%B8%B4%E0%B9%80%E0%B8%95%E0%B9%87%E0%B8%94&query_place_id=ChIJ0b416lCf4jARd7O0x9wjoC4","ภัตตาคารอาหารไทย"
